company_name,company_id,investment_type,industry,cash_rate,pik_rate,reference_rate,spread,acquisition_date,maturity_date,principal_amount,amortized_cost,fair_value,percent_of_net_assets,cost,commitment_limit,undrawn_commitment,ticker,filing_date
Castle Creek Biosciences Inc,co_b6be5d459ecd,First Lien,Pharmaceuticals & Biotechnology,12.88%,5.50%,Prime,5.13%,,2026-05-01,2000,1996,1996,,1996,,,HRZN,2025-10-28
Castle Creek Biosciences Inc,co_b6be5d459ecd,First Lien,Pharmaceuticals & Biotechnology,12.00%,,Prime,4.25%,,2028-03-01,10000,9940,9940,0.04,,,,HRZN,2025-10-28
Castle Creek Biosciences Inc,co_b6be5d459ecd,First Lien,Pharmaceuticals & Biotechnology,12.00%,,Prime,4.25%,,2028-03-01,5500,5467,5467,0.04,,,,HRZN,2025-10-28
Castle Creek Biosciences Inc,co_b6be5d459ecd,First Lien,Pharmaceuticals & Biotechnology,12.00%,,Prime,4.25%,,2028-03-01,5000,4970,4970,0.04,,,,HRZN,2025-10-28
Emalex Biosciences Inc,co_fdebd82a5035,First Lien,Pharmaceuticals & Biotechnology,12.22%,5.00%,Prime,4.72%,,2025-11-01,4167,4144,4144,,4144,,,HRZN,2025-10-28
Emalex Biosciences Inc,co_fdebd82a5035,First Lien,Pharmaceuticals & Biotechnology,12.22%,5.00%,Prime,4.72%,,2026-05-01,5000,4982,4982,,4982,,,HRZN,2025-10-28
Emalex Biosciences Inc,co_fdebd82a5035,First Lien,Pharmaceuticals & Biotechnology,11.97%,,Prime,4.72%,,2025-11-01,417,414,414,0.05,,,,HRZN,2025-10-28
Emalex Biosciences Inc,co_fdebd82a5035,First Lien,Pharmaceuticals & Biotechnology,11.97%,,Prime,4.72%,,2026-05-01,2917,2911,2911,0.05,,,,HRZN,2025-10-28
Greenlight Biosciences Inc,co_6be33131a33e,First Lien,Pharmaceuticals & Biotechnology,13.25%,3.00%,Prime,5.75%,,2025-07-01,1000,971,971,,971,,,HRZN,2025-10-28
Evelo Biosciences Inc,co_9fa2b4ddf220,Other,Other,,,,,,,,,1350,,,,,HRZN,2025-10-28
Shengrow Inc,co_11a1a39323fa,Other,Other,,,,,,,,,43466,,,,,HRZN,2025-10-28
Nexii Inc,co_cdddf27702df,First Lien,Other,,10.00%,N/A,,,2027-07-01,812,790,811,,790,,,HRZN,2025-10-28
Nexii Inc,co_cdddf27702df,First Lien,Other,,10.00%,N/A,,,2027-07-01,304,304,173,,304,,,HRZN,2025-10-28
Nexii Inc,co_cdddf27702df,First Lien,Construction & Engineering,10.00%,,N/A,,,2027-07-01,638,790,790,,790,,,HRZN,2025-10-28
Evelo Holdings Inc,co_836c87fd64b3,Other,Other,,,,,,,4910,1825,,,,,,HRZN,2025-10-28
Evelo Holdings Inc,co_836c87fd64b3,Other,Other,,,,,,,7634,2832,,,,,,HRZN,2025-10-28
Evelo Holdings Inc,co_836c87fd64b3,Other,Other,,,,,,,2946,1095,,,,,,HRZN,2025-10-28
Evelo Holdings Inc,co_836c87fd64b3,Other,Other,,,,,,,1964,730,,,,,,HRZN,2025-10-28
Evelo Holdings Inc,co_836c87fd64b3,Other,Pharmaceuticals & Biotechnology,,,N/A,,,,20342,1350,,,,,,HRZN,2025-10-28
Nexii Inc,co_cdddf27702df,Preferred Equity,Other,,,N/A,,,,,9751,,,9751,,,HRZN,2025-10-28
Nexii Inc,co_cdddf27702df,Preferred Equity,Environmental Services,,,N/A,N/A,,,3419,7909,,,,,,HRZN,2025-10-28
MicroTransponder Inc,co_cde172403562,First Lien,Medical Devices & Equipment,12.25%,,Prime,3.75%,,2029-01-01,3750,3707,3707,,,,,HRZN,2025-10-28
Havenly,co_4f5a4921c306,First Lien,Consumer Products,12.25%,,Prime,5.00%,,2027-03-01,1333,1145,1145,0.104,,,,HRZN,2025-10-28
Havenly,co_4f5a4921c306,First Lien,Consumer Products,12.25%,,Prime,5.00%,,2027-03-01,2000,1753,1753,0.104,,,,HRZN,2025-10-28
Havenly,co_4f5a4921c306,First Lien,Consumer Products,10.75%,,Prime,3.50%,,2028-02-01,3375,1915,3375,0.0778,,,,HRZN,2025-10-28
Havenly,co_4f5a4921c306,First Lien,Consumer Products,10.75%,,Prime,3.50%,,2028-02-01,2813,2813,2813,0.0778,,,,HRZN,2025-10-28
Lyrical Foods,co_f83ce3accc0f,First Lien,Consumer Products,10.75%,,Prime,3.50%,,2028-07-01,2679,2770,2383,0.05,,,,HRZN,2025-10-28
Lyrical Foods,co_f83ce3accc0f,First Lien,Consumer Products,10.75%,,Prime,3.50%,,2028-07-01,2679,1286,2304,0.05,,,,HRZN,2025-10-28
NextCar Holding Company,co_13e5e680953d,First Lien,Consumer Products,13.25%,,Prime,5.75%,,2023-10-31,6441,5187,879,0.0525,,,,HRZN,2025-10-28
NextCar Holding Company,co_13e5e680953d,First Lien,Consumer Products,13.25%,,Prime,5.75%,,2023-10-31,2576,2075,352,0.0525,,,,HRZN,2025-10-28
NextCar Holding Company,co_13e5e680953d,First Lien,Consumer Products,13.25%,,Prime,5.75%,,2023-10-31,3220,2594,439,0.0525,,,,HRZN,2025-10-28
KSQ Therapeutics Inc,co_6a6fbbada2fa,First Lien,Pharmaceuticals & Biotechnology,11.00%,,Prime,3.75%,,2030-04-01,4500,4485,4485,0.05,,,,HRZN,2025-10-28
Vero Biotech Inc,co_ff132af02ffa,First Lien,Medical Devices & Equipment,12.25%,,Prime,3.75%,,2029-01-01,15000,14735,14735,0.04,,,,HRZN,2025-10-28
Vero Biotech Inc,co_ff132af02ffa,First Lien,Medical Devices & Equipment,12.25%,,Prime,3.75%,,2029-01-01,10000,9823,9823,0.04,,,,HRZN,2025-10-28
Vero Biotech Inc,co_ff132af02ffa,First Lien,Medical Devices & Equipment,12.25%,,Prime,3.75%,,2029-01-01,5000,4912,4912,0.04,,,,HRZN,2025-10-28
Vero Biotech Inc,co_ff132af02ffa,First Lien,Medical Devices & Equipment,12.25%,,Prime,3.75%,,2029-01-01,2500,2456,2456,0.04,,,,HRZN,2025-10-28
Vero Biotech Inc,co_ff132af02ffa,First Lien,Medical Devices & Equipment,12.25%,,Prime,3.75%,,2029-01-01,15000,14785,14785,,,,,HRZN,2025-10-28
Vero Biotech Inc,co_ff132af02ffa,First Lien,Medical Devices & Equipment,12.25%,,Prime,3.75%,,2029-01-01,10000,9857,9857,,,,,HRZN,2025-10-28
Vero Biotech Inc,co_ff132af02ffa,First Lien,Medical Devices & Equipment,12.25%,,Prime,3.75%,,2029-01-01,5000,4927,4927,,,,,HRZN,2025-10-28
Vero Biotech Inc,co_ff132af02ffa,First Lien,Medical Devices & Equipment,12.25%,,Prime,3.75%,,2029-01-01,2500,2463,2463,,,,,HRZN,2025-10-28
Pivot Bio Inc,co_f89e180060da,First Lien,Environmental Services,12.00%,,Prime,4.00%,,2029-02-01,5000,4742,4742,0.04,,,,HRZN,2025-10-28
Pivot Bio Inc,co_f89e180060da,First Lien,Environmental Services,12.00%,,Prime,4.00%,,2029-02-01,5000,4951,4951,0.04,,,,HRZN,2025-10-28
New Aerofarms Inc assignee of Aerofarms Inc,co_7b4b0f295b05,First Lien,Environmental Services,14.25%,,Prime,6.75%,,2026-12-01,3594,3564,3564,0.0433,,,,HRZN,2025-10-28
Soli Organic Inc,co_dc94248a23e5,First Lien,Environmental Services,14.25%,,Prime,6.75%,,2026-04-01,5000,4922,4792,0.0275,,,,HRZN,2025-10-28
BioVaxys Technology Corp,co_bee337ea586b,Warrants,Pharmaceuticals & Biotechnology,,,,N/A,,,400000,5,1,,5,,,HRZN,2025-10-28
Ceribell Inc,co_40570fdccc1e,Warrants,Medical Devices & Equipment,,,,N/A,,,89903,147,328,,147,,,HRZN,2025-10-28
Aulea Medical Inc,co_13227247ca99,Common Equity,Medical Devices & Equipment,,,N/A,,,,660537,,,,,,,HRZN,2025-10-28
Evelo Holdings Inc,co_836c87fd64b3,Common Equity,Pharmaceuticals & Biotechnology,,,N/A,,,,2164502,5000,,,5000,,,HRZN,2025-10-28
Shengrow Inc aka Soli Organic Inc,co_11a1a39323fa,Preferred Equity,Other,,,N/A,,,,1835534,13209,18355,,13209,,,HRZN,2025-10-28
Evelo Holdings Inc,co_836c87fd64b3,Warrants,Pharmaceuticals & Biotechnology,,,N/A,,,,23196,127,,,127,,,HRZN,2025-10-28
Evelo Holdings,co_836c87fd64b3,Other,Pharmaceuticals & Biotechnology,,,N/A,,,,20342,1350,,,,,,HRZN,2025-10-28
Aulea Medical,co_13227247ca99,Common Equity,Medical Devices & Equipment,,,N/A,,,,660537,,,,,,,HRZN,2025-10-28
Evelo Holdings,co_836c87fd64b3,Common Equity,Pharmaceuticals & Biotechnology,,,N/A,,,,2164502,5000,,,5000,,,HRZN,2025-10-28
Shengrow aka Soli Organic,co_f8e3005163eb,Preferred Equity,Other,,,N/A,,,,1835534,13209,18355,,13209,,,HRZN,2025-10-28
Evelo Holdings,co_836c87fd64b3,Warrants,Pharmaceuticals & Biotechnology,,,N/A,,,,23196,127,,,127,,,HRZN,2025-10-28
Evelo Biosciences Inc,co_9fa2b4ddf220,Common Equity,Pharmaceuticals & Biotechnology,,,,,,,,,1350,,,,,HRZN,2025-10-28
Shengrow Inc,co_11a1a39323fa,First Lien,Healthcare Technology,,,,,,,,,43466,,,,,HRZN,2025-10-28
BrightInsight Inc,co_25b340707972,First Lien,Software,13.25%,,Prime,5.50%,,2027-08-01,7000,6954,6954,,6954,,,HRZN,2025-10-28
BrightInsight Inc,co_25b340707972,First Lien,Software,13.25%,,Prime,5.50%,,2027-08-01,3500,3477,3477,,3477,,,HRZN,2025-10-28
BrightInsight Inc,co_25b340707972,First Lien,Software,13.25%,,Prime,5.50%,,2028-04-01,2750,2719,2719,,2719,,,HRZN,2025-10-28
BrightInsight Inc,co_25b340707972,First Lien,Software,13.00%,,Prime,5.50%,,2027-08-01,5750,3155,5566,,3155,,,HRZN,2025-10-28
BrightInsight Inc,co_25b340707972,First Lien,Software,13.00%,,Prime,5.50%,,2027-08-01,6708,6683,6470,,6683,,,HRZN,2025-10-28
BrightInsight Inc,co_25b340707972,First Lien,Software,13.00%,,Prime,5.50%,,2027-08-01,3354,3342,3235,,3342,,,HRZN,2025-10-28
BrightInsight Inc,co_25b340707972,First Lien,Software,13.00%,,Prime,5.50%,,2028-04-01,2750,2727,2639,,2727,,,HRZN,2025-10-28
BrightInsight Inc,co_25b340707972,First Lien,Software,13.00%,,Prime,5.50%,,2028-04-01,2250,1277,2178,,1277,,,HRZN,2025-10-28
Elligo Health Research Inc,co_764149d20772,First Lien,Software,11.75%,,Prime,3.50%,,2027-10-01,10000,9890,9890,,9890,,,HRZN,2025-10-28
Elligo Health Research Inc,co_764149d20772,First Lien,Software,11.75%,,Prime,3.50%,,2027-10-01,5000,4945,4945,,4945,,,HRZN,2025-10-28
Elligo Health Research Inc,co_764149d20772,First Lien,Software,11.75%,,Prime,3.50%,,2027-10-01,10000,9924,9924,,9924,,,HRZN,2025-10-28
Elligo Health Research Inc,co_764149d20772,First Lien,Software,11.75%,,Prime,3.50%,,2027-10-01,5000,4962,4962,,4962,,,HRZN,2025-10-28
SafelyYou Inc,co_1f0694e9725c,First Lien,Software,11.00%,,Prime,3.25%,,2027-06-01,5000,4872,4872,,4872,,,HRZN,2025-10-28
SafelyYou Inc,co_1f0694e9725c,First Lien,Software,11.00%,,Prime,3.25%,,2027-06-01,5000,4945,4945,,4945,,,HRZN,2025-10-28
Better Place Forests Co,co_ca589849462d,First Lien,Consumer Products,12.00%,,Prime,3.75%,,2029-08-01,,4012,4058,0.0278,4012,,,HRZN,2025-10-28
Better Place Forests Co,co_ca589849462d,First Lien,Consumer Products,12.00%,,Prime,3.75%,,2029-08-01,,2006,1989,0.0278,2006,,,HRZN,2025-10-28
Swift Health Systems Inc,co_552158dcc36e,First Lien,Healthcare Services,10.25%,,Prime,2.50%,,2028-06-01,1658,1948,1925,0.0914,1948,,,HRZN,2025-10-28
Better Place Forests Co,co_ca589849462d,Common Equity,Consumer Products,,,N/A,N/A,,,639,,,,,,,HRZN,2025-10-28
Better Place Forests Co,co_ca589849462d,Preferred Equity,Consumer Products,,,N/A,N/A,,,3922,,,,,,,HRZN,2025-10-28
Nexii Inc,co_cdddf27702df,Common Equity,Environmental Services,,,N/A,N/A,,,3297,,,,,,,HRZN,2025-10-28
Swift Health Systems Inc,co_552158dcc36e,Preferred Equity,Medical Devices & Equipment,,,N/A,N/A,,,10012,10012,,,,,,HRZN,2025-10-28
Spineology Inc,co_b8f044bbdc50,First Lien,Medical Devices & Equipment,12.25%,,Prime,5.00%,,2029-08-01,5000,4931,4931,,,,,HRZN,2025-10-28
Spineology Inc,co_b8f044bbdc50,First Lien,Medical Devices & Equipment,12.25%,,Prime,5.00%,,2029-08-01,4250,4191,4191,,,,,HRZN,2025-10-28
Spineology Inc,co_b8f044bbdc50,First Lien,Medical Devices & Equipment,12.25%,,Prime,5.00%,,2029-08-01,2500,2465,2465,,,,,HRZN,2025-10-28
SparkCharge Inc,co_f139a6c37e6b,First Lien,Environmental Services,12.00%,,Prime,4.00%,,2029-05-01,2500,2346,2346,,,,,HRZN,2025-10-28
SparkCharge Inc,co_f139a6c37e6b,First Lien,Environmental Services,12.00%,,Prime,4.00%,,2029-05-01,2500,2468,2468,,,,,HRZN,2025-10-28
